Avg_Salinity_P2,Max_Salinity,Avg_Temp,Cotton,Yield
4.004802098893954,18.022273806244172,32.33512452386056,Suvin,14.984009048540665
4.004802098893954,18.022273806244172,32.33512452386056,Muslin,18.41176219421527
4.839908173021623,27.619145939253045,30.871684172957075,Suvin,3.130812510904156
4.839908173021623,27.619145939253045,30.871684172957075,Muslin,5.998701727918271
4.64260880483561,13.776694368340156,34.06387555148988,Suvin,0.24278373933526456
4.64260880483561,13.776694368340156,34.06387555148988,Muslin,0.2859171955746355
5.099199957881804,18.827746604490635,33.2110379669861,Suvin,0.3382743667437266
5.099199957881804,18.827746604490635,33.2110379669861,Muslin,0.5694838332559243
5.201634180503805,18.809886869020968,34.60012604959179,Suvin,0.015498380734345202
5.201634180503805,18.809886869020968,34.60012604959179,Muslin,0.026277616887618448
3.284223103878419,10.175929424449498,32.68912200298523,Suvin,41.49620359117148
3.284223103878419,10.175929424449498,32.68912200298523,Muslin,29.678488244556913
4.733848893930568,14.946875797454881,31.396773753037944,Suvin,15.647644124203747
4.733848893930568,14.946875797454881,31.396773753037944,Muslin,25.472351104277823
4.394327458514893,15.075907234870058,32.15698480136648,Suvin,12.011437700892944
4.394327458514893,15.075907234870058,32.15698480136648,Muslin,15.715207724625717
4.122785813237976,23.090012416979242,32.261806947825704,Suvin,2.5631604912839085
4.122785813237976,23.090012416979242,32.261806947825704,Muslin,5.160207286812408
3.3045874669441724,12.467414857759579,31.978356951388324,Suvin,10.586085206044642
3.3045874669441724,12.467414857759579,31.978356951388324,Muslin,12.562704232355252
4.714608023762581,19.736448563237897,33.04414195834695,Suvin,1.7028237588640047
4.714608023762581,19.736448563237897,33.04414195834695,Muslin,2.3495190880689227
5.7965168121741915,24.985792281129967,32.50128843497784,Suvin,1.3372931696451016
5.7965168121741915,24.985792281129967,32.50128843497784,Muslin,1.7908173593921342
9.040565693257864,29.88872018430937,29.657972938248047,Suvin,4.405657452338816
9.040565693257864,29.88872018430937,29.657972938248047,Muslin,8.186122557827135
2.3684907524196066,47.3698028023037,31.757608937895643,Suvin,7.63484869140138
2.3684907524196066,47.3698028023037,31.757608937895643,Muslin,18.154848877199427
3.448824900741646,15.817161732357155,31.447061547291135,Suvin,11.207163008245242
3.448824900741646,15.817161732357155,31.447061547291135,Muslin,13.302976692644364
4.777666446508885,18.702611240924707,31.51699420260449,Suvin,22.217533988663604
4.777666446508885,18.702611240924707,31.51699420260449,Muslin,31.974245555555406
3.114472018184476,20.54715944619155,32.75487122341768,Suvin,9.847455396493588
3.114472018184476,20.54715944619155,32.75487122341768,Muslin,15.943646842010113
3.988733492117609,15.209274214785664,30.74978214314084,Suvin,222.4446231184168
3.988733492117609,15.209274214785664,30.74978214314084,Muslin,209.1178444053305
4.463952557444432,19.438531039643486,32.14198816859606,Suvin,4.009629203084405
4.463952557444432,19.438531039643486,32.14198816859606,Muslin,6.0287210631073105
4.5359739275314475,19.709240776225005,32.0758284732132,Suvin,7.3458744386106405
4.5359739275314475,19.709240776225005,32.0758284732132,Muslin,7.660755923062307
3.894548775065358,28.58825396325299,32.06134358250474,Suvin,0.4675252279428157
3.894548775065358,28.58825396325299,32.06134358250474,Muslin,2.279411043556555
3.0384005136291665,22.7545551382784,32.47670030736974,Suvin,2.4099906581608637
3.0384005136291665,22.7545551382784,32.47670030736974,Muslin,4.387348994207162
3.9175508057336317,12.174895316817597,31.045817429564824,Suvin,13.209715256745865
3.9175508057336317,12.174895316817597,31.045817429564824,Muslin,11.740241436664595
7.157167503228768,26.13164502091725,31.233649381650714,Suvin,1.6466576261698658
7.157167503228768,26.13164502091725,31.233649381650714,Muslin,4.1569398631136565
2.469624565640542,26.540684926401354,31.72448960691334,Suvin,2.6991577978956376
2.469624565640542,26.540684926401354,31.72448960691334,Muslin,8.567220851220737
3.543944047942796,17.842615810952005,33.547897914945345,Suvin,1.155764653275462
3.543944047942796,17.842615810952005,33.547897914945345,Muslin,1.3144322088355274
3.37802194430662,39.18268408270759,32.2988943037703,Suvin,1.0575683700363487
3.37802194430662,39.18268408270759,32.2988943037703,Muslin,2.192150624775417
7.253413074883255,39.582403837193695,33.377460228498464,Suvin,0.28706050107034087
7.253413074883255,39.582403837193695,33.377460228498464,Muslin,0.466271386895022
5.234835465081831,16.150242790912447,32.886497292054685,Suvin,0.9292356434539296
5.234835465081831,16.150242790912447,32.886497292054685,Muslin,1.215211279338627
3.167546530798508,16.16846238607504,32.418720628501106,Suvin,5.443288214062104
